City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,novyy urengoy,66.0833,76.6333,-12.88,92,7,1.86,RU,1698696241
349,vitoria da conquista,-14.8661,-40.8394,29.69,27,82,4.15,BR,1698695956
350,xilin hot,43.9667,116.0333,7.98,44,70,6.42,CN,1698696241
351,quepos,9.4236,-84.1652,24.82,93,100,0.75,CR,1698696241
352,franklin,39.9667,-83.0166,8.1,83,100,5.66,US,1698696242
353,freetown,8.484,-13.2299,27.84,83,75,5.14,SL,1698696242
354,nanpara,27.8667,81.5,20.29,63,19,1.18,IN,1698696242
355,richards bay,-28.783,32.0377,15.81,82,100,3.28,ZA,1698696243
356,vadso,70.0744,29.7487,-1.91,86,75,5.14,NO,1698696243
357,menuma,36.2167,139.3833,13.93,61,79,0.97,JP,1698696247
358,broken hill,-31.95,141.4333,10.35,67,100,6.67,AU,1698696248
359,rundu,-17.9333,19.7667,25.53,43,30,3.78,NA,1698696249
360,chenzhou,25.8,113.0333,17.48,84,100,0.35,CN,1698696249
